Name,URL
01 Don't fear the shell,http://media.ch9.ms/ch9/eedc/a09df7fe-b46c-4d6e-b6f6-17e7980deedc/GetStartedPowerShell3M01_high.mp4
02 The help system,http://media.ch9.ms/ch9/96dc/5e431f9c-e65f-4ac3-9339-4a67989496dc/GetStartedPowerShell3M02_high.mp4
03 The pipeline: getting connected and extending the shell,http://media.ch9.ms/ch9/2888/54ac4547-0430-444e-9ee4-347678b92888/GetStartedPowerShell3M03rs_high.mp4
04 Objects for the Admin,http://media.ch9.ms/ch9/74d2/b70e7c0a-96a7-4067-80cb-ce8352c774d2/GetStartedPowerShell3M04_high.mp4
05 The pipeline: deeper,http://media.ch9.ms/ch9/b233/9ddae023-a85e-4e72-bcf3-00f143fab233/GetStartedPowerShell3M05_high.mp4
"06 The PowerShell in the shell, remoting",http://media.ch9.ms/ch9/f33b/15dcc7ae-ff1c-4e1d-9200-be3f132bf33b/GetStartedPowerShell3M06_high.mp4
07 Getting prepared for automation,http://media.ch9.ms/ch9/0922/1307856c-4ef2-4bda-9914-045f4a390922/GetStartedPowerShell3M07_high.mp4
"08 Automation in scale, remoting",http://media.ch9.ms/ch9/7b29/933b0f5e-ca54-45fe-849b-4e4b07127b29/GetStartedPowerShell3M08_high.mp4
09 Introducing scripting and toolmaking,http://media.ch9.ms/ch9/e523/055c141f-5e9f-400f-b5b1-da61a747e523/GetStartedPowerShell3M09_high.mp4
