Name,URL
01 Get Started Scripting,http://media.ch9.ms/ch9/36f5/9d975955-d9f0-427d-9e2f-fc4c167b36f5/AdvPowerShellM01_high.mp4
02 PowerShells Scripting Language,http://media.ch9.ms/ch9/f701/43a4cabe-a8ae-457e-9e8e-d36549edf701/AdvPowerShellM02_high.mp4
03 Simple Scripts and Functions,http://media.ch9.ms/ch9/70bf/d467803d-4456-42b7-bbd5-e8b43b7370bf/AdvPowerShellM03_high.mp4
04 Advanced Functions,http://media.ch9.ms/ch9/9e37/8475efa3-1a54-4b29-8122-dba7029b9e37/AdvPowerShellM04_high.mp4
05 More on Parameters,http://media.ch9.ms/ch9/0639/7f786c24-9cbd-44d3-a768-f4e252240639/AdvPowerShellM05_high.mp4
06 Writing Help,http://media.ch9.ms/ch9/2ded/7dbc69eb-83ea-4f8f-8395-199247212ded/AdvPowerShellM06_high.mp4
07 Error Handling,http://media.ch9.ms/ch9/d127/8e86de57-3103-4641-a79b-169f53d4d127/AdvPowerShellM07_high.mp4
08 Tools That Make Changes,http://media.ch9.ms/ch9/2c99/374d7da9-04b0-43f1-b398-3aae9ec52c99/AdvPowerShellM08_high.mp4
09 Script and Manifest Modules,http://media.ch9.ms/ch9/b758/123dd003-c369-4861-9b46-ccde0a5eb758/AdvPowerShellM09_high.mp4
